model,k_factor,history_size,usage_rate,mean_profit,sd_profit,mean_pct_return,max_loss,win_rate
population,1,8,0.9,13.0225916257082,42.8925063849229,2.70404976875589,-213.358399078432,0.8
population,1,8,0.8,15.4758268717486,38.5822796967738,3.46162652239374,-189.315449992599,0.83
population,1,8,0.7,17.9029547132459,34.1731297595287,4.43792794435162,-166.524719018376,0.87
population,1,8,0.6,20.1789972369959,29.9064072125271,5.72791572167306,-138.887476846999,0.91
population,0.9,2,1,18.9184069094194,52.0214328622957,3.57177418725767,-110.507213704949,0.71
population,0.9,2,0.9,24.4076711652596,47.8386287882696,4.84300883830513,-99.2482125329127,0.76
population,0.9,2,0.8,30.599623227303,43.6507291741982,6.53975796998885,-80.7619139850789,0.81
population,0.9,2,0.7,36.6478578054953,39.2382859695474,8.64515490682083,-62.4770340162975,0.83
population,0.9,2,0.6,42.5545472147305,36.131743739063,11.4697964049345,-59.8123396737313,0.89
population,0.9,4,1,15.3367965602558,53.1250828285307,2.78960771687299,-213.690649562372,0.68
population,0.9,4,0.9,22.4191390101385,48.2460166048627,4.23810496680466,-187.799423283612,0.75
population,0.9,4,0.8,28.6158216621643,43.768074577728,5.87306335433409,-161.574461440319,0.81
population,0.9,4,0.7,35.0791591191987,38.796247659713,8.02844576398933,-134.504385556176,0.88
population,0.9,4,0.6,41.33131842721,34.8789123167141,10.8447876283319,-108.751809022281,0.9
population,0.9,6,1,16.169483689857,52.3978957601303,3.09447245186566,-177.719779117503,0.73
population,0.9,6,0.9,22.1221894424969,47.6873497907575,4.43256274174797,-151.214660074048,0.8
population,0.9,6,0.8,28.3892280679398,43.5433104586522,6.17383204023194,-131.915088879204,0.84
population,0.9,6,0.7,34.8206061730421,39.0433854791248,8.45524386660639,-110.050255127592,0.87
population,0.9,6,0.6,40.5446066474442,35.0782000825892,11.3148313557796,-86.7184287996752,0.9
population,0.9,8,1,22.8480651185619,66.1171286883786,3.93770629977048,-252.117454987653,0.75
population,0.9,8,0.9,28.4104625699784,60.9982914948858,5.25167834609846,-223.162766515601,0.77
population,0.9,8,0.8,34.5402324628486,55.9740480822177,6.97806759390081,-195.471550137371,0.83
population,0.9,8,0.7,40.5326899039978,50.8915440198266,9.1670297729425,-169.032551870751,0.9
population,0.9,8,0.6,46.4499890441961,46.1766949315051,12.1066826409576,-137.747042406977,0.92
