model,k_factor,history_size,rider,premium,strike,expected_price,spend,overrun,profit,pct_return,premium_over_price
trip-specific,1,2,69,28.702680105623,32.8849606804066,32.8849606804066,1145.20826762216,159.399049341583,-130.69636923596,-11.4124542173739,2.50632840480793
trip-specific,1,2,70,22.1598927612402,28.7933138361866,28.7933138361866,805.307256316798,3.63504467678819,18.524848084452,2.30034535751961,2.75173141523547
trip-specific,1,2,71,28.9404551280697,26.5436363443745,26.5436363443745,787.683014047978,28.7235254055582,0.216929722511519,0.0275402311136173,3.67412456685361
trip-specific,1,2,72,26.711622495423,33.5275923326623,33.5275923326623,985.562744794509,11.4763561818387,15.2352663135843,1.54584438119776,2.71029141843145
trip-specific,1,2,73,28.0875359551106,33.1351814665725,33.1351814665725,1028.30939528681,44.3054405788387,-16.217904623728,-1.57714251158861,2.73142850623053
trip-specific,1,2,74,25.4508698769956,25.2153447721444,25.2153447721444,714.92548094727,7.62009478266685,17.8307750943288,2.4940746370801,3.55993324552839
trip-specific,1,2,75,20.3504882095188,19.0018138529033,19.0018138529033,658.416631569366,88.3622159822677,-68.0117277727489,-10.3295883657495,3.09082232036158
trip-specific,1,2,76,23.960490026387,24.1059737948349,24.1059737948349,751.76131930049,40.0610253133252,-16.1005352869382,-2.14170839514856,3.18724699066481
trip-specific,1,2,77,19.6938661851946,22.1306948423942,22.1306948423942,643.167078138021,5.90148711199215,13.7923790732025,2.14444730491051,3.06201403252926
trip-specific,1,2,78,40.2582730635338,40.5932587178162,40.5932587178162,1232.7179218129,30.6716930926329,9.58657997090086,0.777678315636258,3.26581388581807
trip-specific,1,2,79,16.8294365738932,6.482793144259,6.482793144259,173.52415114315,0.674655193778013,16.1547813801152,9.3098172638737,9.69861339935887
trip-specific,1,2,80,17.5978440964592,17.7118610509249,17.7118610509249,589.630970415037,61.7493234005214,-44.1514793040622,-7.48798511600982,2.98455219950068
trip-specific,1,2,81,24.1357397149756,21.6944666754587,21.6944666754587,618.18756109822,6.05422623097539,18.0815134840002,2.92492353807283,3.90427456548916
