"","trip","real","normal_5","normal_50","normal_95","normal_F","normal_95F","t_5","t_5F","frequency"
"1189",14340,302.171999931335,373.213982572712,380.351025019225,262.422171429313,351.227369317916,732.945954297574,317.289317530313,371.948700924117,2089.17461229665
"1190",14341,654,666.658411228169,646.986161154276,654.368761494216,641.50787986918,745.180112026399,641.07462320509,657.308123022741,1284.99818304299
"1191",14372,1386,1324.67644946677,1321.65611360562,2174.11130874289,1478.89496403782,1419.50876783775,1568.25720606673,1379.58950753784,732.562010476824
"1192",14376,1090,1203.37666274943,1220.06526481631,1602.41440617357,1146.25105371759,1023.03291512489,1150.76034646314,983.115086808233,1742.28293273444
"1193",14386,1108,822.195573886978,894.502396340818,864.05679060875,683.447320388829,783.50155728855,906.708711236627,783.558672247266,1635.8030417553
"1194",14396,963,865.012056717516,1338.88914110783,855.432659729224,866.088813056046,973.494464928464,853.613010296288,865.195276750511,853.330698740648
"1195",14408,1688,1709.12080109794,1548.59536081822,1564.16890273532,1621.95337862211,1453.20071380609,1514.38234099473,1461.2849066394,1426.30940256572
"1196",14419,2914,2589.60489586521,2484.64411989464,2703.54980489973,2583.63991383297,2426.85846100569,2464.72880985485,2745.13134302524,1310.21438730064
"1197",14423,307,297.291672420482,289.767859896433,290.798636553237,320.210566126255,281.538586973637,286.090765903249,289.576730862021,411.231839700368
"1198",14427,1688.4240000248,1694.92852841015,2197.874944563,1484.43803039084,1909.99167380192,2620.0018897036,1562.99902805695,1936.65868444919,1673.80923687201
"1199",14455,1654,1347.73128004761,1308.31115462202,1354.3993498498,1373.54755436192,1318.30666153751,1568.55279802096,1223.12355228132,1121.57307106626
"1200",14471,1014,889.011013154037,831.24188656839,947.197150628182,859.807132901154,771.779263978444,1006.32712056075,868.397303369476,811.72394207554
"1201",14478,971.358000040054,999.653626910823,902.235569359537,895.832297368711,912.036600095008,899.393635224998,931.055036258045,917.547907249272,1305.07826321342
"1202",14491,2099,2026.61304114088,2220.04875984127,1989.9145215088,2017.02660607597,2406.47458184665,2059.57756373738,2020.62542527202,370.196693924817
"1203",14500,1911,1653.57514194137,1830.20904796785,1360.47860509175,1900.52293947549,1411.61902548154,1446.57807161313,1689.92422640148,1631.7148958911
"1204",14502,629,533.705477396602,526.540920603812,613.281069931676,538.35422440816,807.074678365084,646.733764511481,502.075945304545,1457.68859894845
"1205",14520,473,503.23792585134,386.444845053788,459.208854347771,526.334238942663,435.020333133591,437.564713721581,506.55661946124,138.776963102295
"1206",14523,644.940999984741,647.148284109353,553.21094469101,647.37137417352,594.512271488859,775.667773594195,670.219115448445,586.235952404752,1290.94280242476
"1207",14527,960,968.735510638178,957.12463091804,941.83296023897,1003.90515816879,971.669044036225,1051.22042034671,1075.7558215352,1063.53759933534
"1208",14532,1057,1091.0924351657,936.459941741846,964.880081823464,1081.95039797969,735.176800595201,1026.60754619842,1077.60833297542,2084.81232152525
"1209",14538,1911,2004.45042153645,1760.7247678777,1702.33371651227,1709.38951297843,2234.6794381172,1966.34615303591,1698.04706326685,1824.67447038643
"1210",14549,274,429.482755479808,583.293850446419,352.15859019654,429.623004027779,328.729691965454,403.098888505476,381.949707113721,1545.23966990852
"1211",14560,1776.98300004005,1839.22781780337,1620.33979868563,3373.63086072368,1760.71307236372,1861.85005073235,2036.18954361585,1945.08874776689,1610.68371854665
"1212",14563,875.871999979019,1048.11917431654,1479.36362505791,1140.24730530437,1140.26803473756,841.51661517542,1504.98324840238,1041.59003696768,1892.64058057702
"1213",14569,1262,1147.38083955938,1010.40019516581,1144.04115937671,1091.49823960082,1200.14330540768,1115.36539337975,1020.24618182791,1363.97803608635
"1214",14572,1356.1740000248,1727.86819633486,1418.40126647467,1706.18187725286,1602.73210625026,2019.07814304207,2111.06413672312,2046.31579510021,1031.40174863792
"1215",14573,2019.6779999733,2087.96612274839,2253.12829062088,2648.96414921229,1996.84337843234,2234.25392500535,2356.85626842156,2264.962167592,717.373893490591
"1216",14581,1634.26699995995,1598.63113536838,1502.61186911822,1534.56086493329,1815.98932806117,1642.86896730907,1868.42025297406,1461.28870528405,843.358229515399
"1217",14594,1184.7460000515,1314.4453272836,1108.05401547434,1270.51871684092,1130.87858015562,1091.22121571416,1036.68176276295,877.986845343242,1322.64006496583
"1218",14614,388.046000003815,392.635409291406,386.154082465077,399.308728108954,388.422578224609,430.464564880598,388.77221622972,387.174128703506,1097.81972958693
"1219",14644,1611.70499992371,1464.38117617973,1787.12134898477,1654.40088723979,1387.37852171335,1690.84125820131,1855.60257412297,1594.79418668552,1331.25724323025
"1220",14668,2487,2532.24532746456,2281.81295447004,2583.61926700141,2393.93946165219,2420.54421150411,2553.02758874739,2364.60864241415,423.305097237624
"1221",14670,1791,1332.23474587294,1140.97267499998,1225.99024138251,1390.67391674549,1861.91824679335,1268.29639984601,1273.83825446343,1123.61932551504
"1222",14674,1222,1544.01745201924,1127.50040134286,2143.4919604263,1329.02805773274,1955.1108966068,1262.4494119728,1316.76784776341,1419.65566086338
"1223",14690,2083,1842.71236751228,1664.08976394584,3658.70839293747,1710.7470642997,1718.8614949018,1838.37731824219,1821.78234844124,1591.48864045337
"1224",14713,2174,2154.58313433323,2491.39472394723,2192.19453491317,2211.37167227082,2812.08288924622,2254.69784216042,2004.1054995078,582.122873459342
"1225",14722,968.950000047684,813.723708718544,1276.6045981504,1817.80836973581,1238.55468501658,967.394515994727,869.059345198443,916.675729607348,1970.53039457184
"1226",14725,762.644000053406,802.2239713167,705.108074781679,758.557891996401,792.722826316004,733.973164635376,906.155359210748,744.438105468275,1397.84149292436
"1227",14736,648,682.971075620714,671.992093211376,670.496340375528,670.137059486676,733.2225268132,663.470084333824,664.310782692225,2879.18821467845
"1228",14756,1060.47500014305,896.599227941811,812.981184975352,793.013201316231,897.987409335409,708.0425797007,1236.64020840649,828.352246563419,12.9124570311649
"1229",14758,1303.47699999809,1377.91694906365,1170.0340711328,1107.92250971107,1070.34153491156,940.745428565178,1365.59161967706,998.387553121293,946.426724349122
"1230",14764,1725,1776.66125758589,1736.50151562738,2128.0919833791,1785.12485267948,2075.43210308807,2293.51863374213,1655.32961973826,555.845508079724
"1231",14805,1503,1780.90493396449,1677.53954062034,1257.51556028998,1661.5396681537,1441.48684805381,1612.90819791116,1492.80637360635,2136.51300399832
"1232",14809,1289,1541.40850144866,1569.67686379605,2150.76745838506,1433.1376098638,1237.07050091775,1597.76960029533,1469.01941327176,1698.90077529487
"1233",14840,342,407.682329249591,417.992472443037,551.74248393086,384.531414433984,458.772878212631,471.195745055903,414.837042192696,974.542694519443
"1234",14846,1656,1087.69828144625,1112.53794339106,1220.07056055253,1079.33887958552,716.504896503055,1399.81849458931,1232.6380702007,2124.99831683267
"1235",14851,2400,2462.41136768711,2318.84264937552,1857.05027309117,2086.95314790055,3078.8239156471,2049.11446687456,1979.91045407039,1182.36386207766
"1236",14869,2313,3104.44688399639,1849.13554037935,2743.0925297098,1722.20386930209,2134.61409550679,2165.71363674862,1947.14311553732,690.889706402541
"1237",14898,130.006000041962,133.948177953259,124.908889483688,139.806081811411,125.295313726364,123.638339529246,134.829384278223,124.834865056527,1111.13850455532
