tripID,premium_trip,eta_min,distance_km,duration,distance,real_price,strike,premium_pop
12313,0.334463536688664,25.3606765243857,24.317942,1664.93,24317.942,33.6582861333333,32.9179575225596,1.04943081681142
12320,0.368567251365809,23.9922570441514,20.538176,1392.28,20538.176,28.8478050666667,29.0919580836869,1.28528501077007
12322,0.310359607708349,28.583658738558,23.104065,2056.33,23104.065,34.5880301666667,32.824592708953,1.24802242933184
12329,0.573211134384634,30.4312904267791,14.203358,2175.36,14203.358,27.1923822,25.3867222323015,1.19653522767009
12330,0.481387215324987,22.4675613367301,11.196009,1434.1,11196.009,20.6559247666667,20.2113521143863,0.971584143524735
12336,0.271539957699103,13.9442375473701,13.206616,852.96,13206.616,19.4629144,19.3786680396847,0.812885615301491
12346,0.291750424477753,19.4532962690983,14.931684,975.34,14931.684,21.6477722666667,22.6390374434205,0.995577488368498
12359,0.192774767673769,24.1418292646957,31.235613,1356.11,31235.613,38.2886200333333,38.7660187720557,1.1077763638629
12367,0.552599741944458,34.7460346314435,17.601924,2962.29,17601.924,34.3168966,29.7830023357475,1.35093292926313
12384,0.447480573370043,35.972404195509,23.731953,1779.72,23731.953,33.7239777,35.6802030006078,1.60139546914369
12395,0.361782163498193,30.9069416754448,33.834437,1764.51,33834.437,42.7376283,43.2021452193879,1.26056568348512
12412,0.395274621849972,26.1679310915055,24.554187,1790.18,24554.187,34.5180316333334,33.3808269383667,1.06431710384567
12415,0.603108126736515,33.9804268493035,19.606973,1698.6,19606.973,29.5923757,31.3502080232841,1.29139091217287
12420,0.297356330696523,28.457266369572,22.065821,1553.26,22065.821,31.0544155666667,31.8509914745673,1.18331343810106
12449,0.518292466278368,23.7678639966972,15.469131,1076.6,15469.131,22.6546512333333,24.4602557389761,1.32149730749067
12461,0.314478114508747,11.5248171014697,12.118135,491.43,12118.135,16.6153765,17.6490148014556,0.60154581708046
12466,0.170381673048033,3.70012358120919,1.400776,192.96,1400.776,5.4276584,5.57773671017485,0.546740938212135
12477,0.2736207378586,20.9995016059371,11.292872,1152.44,11292.872,19.2878581333333,19.8434302978405,1.23535182270088
12493,2.44845046522076,27.963590392105,26.538775,1359.03,26538.775,34.0765525,35.7236105215525,1.20309163416092
12524,0.378938710042027,24.4939352866166,19.980908,1250.83,19980.908,27.6154388666667,28.7459371388511,1.17664683047127
12539,0.629435841073263,13.1859843017676,8.421641,854.79,8421.641,15.1658919,14.837132033548,0.96345358934212
12564,0.623384357123736,43.2467970064184,34.935415,2767.67,34935.415,48.9115018333333,48.0183805719897,1.38543038589542
12567,0.392665371515964,16.1680629315149,21.519498,921.27,21519.498,27.2974432,27.5496477087696,1.07168270802085
12574,0.450229627768198,22.0803990966119,18.00145,1657.71,18001.45,27.93614,26.2162287199497,1.18994269690731
12597,0.588567387666444,35.8327107284482,23.914594,2260.2,23914.594,36.3708346,35.8012749258189,1.21609840821084
12623,0.245080267166779,22.2064144015594,25.554639,1326.63,25554.639,33.0234301,33.0531635644834,1.327436651158
12667,0.243653379668678,17.5905824619905,17.269513,979.95,17269.513,23.7756367,24.1656422632171,1.15641643721483
12676,0.397737634506404,22.389032153684,12.670546,1018.34,12670.546,19.8349147333333,21.514091367642,1.14959386181737
12688,0.633483380040953,49.8799532596434,66.463264,3100.05,66463.264,79.0038626,78.4497231104895,1.26679073706464
12693,0.442972017648206,51.4961978779698,63.539961,2697.35,63539.961,74.2922732333333,76.3197862421706,1.2791499637563
12694,0.324483208848906,16.6378370081648,6.616175,920.72,6616.175,13.8816108333333,14.2822869725311,1.02669676724729
12698,0.352258684293693,15.8814495848474,11.134897,990.52,11134.897,18.3090939666667,18.1146566713027,0.832014952887892
12701,0.246008076736753,22.2487212105935,18.768816,1103.67,18768.816,25.7642294,26.959037975284,1.24170328781995
12716,0.284576305949604,17.8597462975574,13.872868,943.11,13872.868,20.5283162,21.1921025522428,1.12887876219315
12741,0.487991127447187,35.6947574813706,18.65391,2072.63,18653.91,30.6671073333333,31.0238938192249,1.49468255385948
12743,0.40712927657626,28.2116062729042,27.025334,2138.23,27025.334,38.5403222666667,36.2383985446003,1.24170328781995
12749,0.253729127505395,9.93298773136558,8.881984,519.6,8881.984,13.8483856,14.2430117967233,0.614483766408419
12758,1.4724618588389,50.4186587448033,26.480702,2555.9,26480.702,40.2081151333334,42.632416010889,1.47348030875271
12774,0.362634904848775,33.4597054320672,41.538502,1930.01,41538.502,50.5263701333333,50.9271604839408,1.21609840821084
12783,0.417066199660511,38.2659481043148,35.580935,2329.95,35580.935,47.2309165,47.0552854123376,1.43013313618773
12806,0.269035072533496,15.6151434696666,13.063938,832.01,13063.938,19.2262625333333,19.7682386755966,0.904495613526603
12807,0.322691225816963,10.6482062653797,12.607746,613.65,12607.746,17.6874964,17.8179153422677,0.921725649612629
12820,0.195969429680434,4.96251665179681,1.910426,295.97,1910.426,6.41856173333333,6.42776356205701,0.546740938212135
12821,1.38126634079022,31.0234579147131,23.432886,1542.93,23432.886,32.2314024,33.8768693535611,1.1699422355508
12829,0.641790533535622,26.4621955457221,21.81064,1365.78,21810.64,29.856106,31.0028566191739,1.18994269690731
12857,0.361318892197239,23.0303390434458,17.940399,1761.47,17940.399,28.4172874333333,26.4557642034682,1.06431710384567
12860,0.344966188614274,25.6435337025367,13.790109,1853.38,13790.109,25.1568947666667,23.5305935477864,1.29746807944364
12865,0.634073929902142,33.9772597382217,29.950485,1906.42,29950.485,39.9752731666667,40.6583870188487,1.20309163416092
12889,0.351912823864756,16.7968896640456,12.381343,1012.35,12381.343,19.5436837,19.5202444958541,0.921725649612629
12902,0.450232602773603,21.695507592356,12.240729,1294.47,12240.729,20.8747511,20.9122634536304,1.06431710384567
12913,0.301982262546133,23.1626473831244,16.987162,1415.59,16987.162,25.7723274666667,25.6388664887686,1.16319899647185
12917,0.736925497356695,45.5931001716087,66.299684,2732.35,66299.684,76.9568572666667,76.9735766531987,1.62092540393562
12968,0.142865928605858,2.98547491654228,1.852948,183.14,1852.948,5.78387653333333,5.76315042412811,0.469319728814691
12975,0.442455970084976,22.046946382406,18.328641,1808.57,18328.641,29.0100552333333,26.5003302785459,0.878016815039115
12982,0.1880708070789,14.3717593151532,7.521765,1088.37,7521.765,15.5628335,14.3948338876975,1.1077763638629
12984,0.326544994458741,14.3811664823661,7.772113,969.88,7772.113,15.1759483666667,14.6230633095335,0.841416550206566
12987,0.306550220323609,21.5806464310759,16.694503,1283.75,16694.503,24.8277610333333,24.8850530936335,1.01125683859793
12990,0.212478417600704,13.1886818500089,11.024379,707.72,11024.379,16.7484944333333,17.1804324735027,1.01125683859793
13003,0.466896376848089,29.3217646198404,29.122772,2318.21,29122.772,41.3579131333333,38.4702418321505,1.22254990392435
13004,0.395559805561653,19.1406328490831,10.206235,1092.62,10206.235,18.0008148333333,18.2892076832158,0.921725649612629
