tripID,realized_secs,simulated_secs
2324,783.45,1134.06679389422
2327,446.45,645.231053306936
2339,658.75,717.048364886444
2380,1075.96,1450.89121425088
2392,992.92,1317.00403565833
2437,2043.6,2265.67843953548
2448,1224.61,1106.70174420581
2466,571.01,579.765255268043
2489,583.05,569.643869708579
2504,1485.58,1677.99567877815
2507,1699.04,1916.84124334041
2512,1538.89,1380.9848216262
2521,370.4,350.363286218934
2523,1625.11,1729.02391556031
2526,619.46,695.017990533995
2527,1792.44,2228.76547258162
2533,1027.39,820.341846594825
2535,478.43,448.946159437754
2539,440.49,386.155497787585
2549,244.84,177.989240778717
2550,790.92,762.87279240515
2552,1715.97,1386.91117850062
2573,1164.75,1218.76704327046
2579,1413.06,1450.19129621362
2581,1279.8,1392.19932564062
2585,1225.35,1186.20777112516
2597,930.44,1358.08323839617
2609,1136.18,1291.1136498113
2610,1934.77,2219.28041830665
2613,2034.4,2264.48558578829
2622,883.9,905.117207996546
2624,1365.93,1110.10077280145
2641,1545.54,1941.29980834347
2648,603.74,676.815139178987
2664,99.99,204.149370887298
2676,2573.65,2168.63119132439
2687,1696.94,1230.78055372378
2695,1025.57,1076.31503814612
2703,1140.73,1163.17904551065
2707,1157.75,1007.82542989925
2732,1290.01,1310.08178593312
2736,1622.52,1461.42033192363
2744,823.55,836.28149035473
2745,329.18,505.09013422913
2746,2595.96,2051.14034530814
2756,207.08,317.230453886018
2766,1662.25,1415.84994953105
2770,390.67,589.736354339808
2782,1370.97,1292.59430450774
2785,2105.32,2138.41186906419
2809,2129.02,2648.17532423067
2821,943.41,1169.61225678829
2828,267.61,1058.1492828167
2857,2218.33,2126.43864141365
2864,253.82,256.682086347695
2884,967.75,1169.93753810767
2896,662.8,734.800067291802
2902,309.45,409.975370636433
2912,1228.84,1446.04585956249
2934,489.7,504.021661933727
2948,1605.11,1509.57293673734
2949,1448.02,1717.69416390756
2955,1719.94,1946.5021606351
2956,1283.13,1398.20926223333
2966,939.47,890.965775034254
2970,913.36,742.41891805142
2974,1089.23,1037.51739405974
2977,3138.25,3052.69180225281
3000,1115.97,1243.38421076311
3001,1317.38,1893.43419705296
3004,1120.4,1090.23275298377
3011,982.71,1130.07630959667
3015,1307.41,1725.96152223536
3048,1067.13,918.627089148479
3067,846.96,997.734881117835
3084,575.62,668.826408046914
3109,2668.34,3000.21789935452
3117,1659.86,2139.28497231448
3120,1333.93,1701.5427053892
3160,1393.27,1382.87378854713
3164,1082.95,1256.96936067582
3176,1078.79,917.283024268949
3183,777.37,797.151416235206
3188,779.33,1517.07054993997
3206,1769.98,1714.59507082106
3232,1827.02,2172.1607752756
3242,881.99,750.065302382792
3251,509.41,711.264717612349
3264,1300.46,1056.45125371509
3270,720.760000000001,780.972607143167
3286,1418.6,1323.0088910005
3314,287.75,444.053353774368
3320,726.25,668.304698238062
3349,574.38,641.798366801023
3353,1234.84,1029.00495465182
3366,1425.45,1512.75887711295
3367,2125.66,1573.58575889875
3379,967.75,1038.65418214165
3385,1375.65,1592.69909953067
3388,515.86,619.572106894355
3392,1070.79,967.685810609304
3393,2673.53,2362.65000223471
3410,1454.19,1366.68931989002
3412,2670.84,2913.59596062654
3449,1109.01,986.672613935239
3451,2138.87,1840.60995497427
3468,435.38,387.741558062024
3472,2280.59,1973.36529101945
3488,1713.13,1743.5399713024
3491,1162.19,1003.54428552967
3493,2439.37,2563.83171816745
3496,1139.06,1342.83916790116
3519,2092.87,2044.00041392785
3527,171.15,255.638603405129
3530,840.73,887.994206062549
3534,1276.55,1369.40506192801
3541,634.8,725.123196294254
3613,683.77,685.114158252104
3621,400.14,398.477299000519
3623,455.76,409.183187131704
3633,403.4,457.899749732764
3639,399.51,392.663508102229
3651,200.67,147.050667602349
3652,948.18,1055.91578106503
3660,833.94,1566.90266366747
3687,1045.09,1292.2484311739
3704,1627.85,2088.46851715721
3705,804.19,748.942886819765
3717,1945.72,2165.75838684728
3725,638.98,690.911221310542
3729,1310.35,1657.18475127818
3730,1636.75,1722.50166885915
3738,1013.49,1255.56739905249
3769,1544.8,1628.82466843015
3775,2141.19,2372.05838706987
3777,1372.45,1187.89823123254
3798,1285.64,1376.46892037246
3814,1912.75,1923.69574123256
3820,2125.2,1852.02580081807
3821,725.65,639.52123618114
3846,379.05,386.478234009271
3862,1462.84,1275.89089656668
3884,1295.42,1517.46114516972
3894,1052.33,980.251056432853
3895,1485.04,1394.62823118899
3899,3343.23,2693.02867962539
3918,1959.66,1982.70254770623
3937,1793.91,2057.04725658217
3948,1022.87,1037.7235556118
3950,585.52,902.496873642835
3960,1276.6,1151.17214048836
3968,1089.08,1036.45552079323
3976,2017.53,1848.26795216139
3991,4229.9,4465.61256128567
3995,889.24,962.320352414027
3997,2362.22,2390.25000103709
4008,844.3,751.140050818266
4011,2770.92,2487.6952271295
4014,383.4,594.887341576993
4038,606.800000000001,33624.9967059411
4048,1100.4,1169.64333971696
4056,985.89,1008.63738954361
4067,2129.84,1908.60963621914
4070,1164.5,1175.31467362338
4084,691.11,823.072536238079
4102,104.43,322.954266996706
4118,3144.68,2948.94153973337
4126,3074.92,2709.48880857113
4127,1683.65,2051.00503418744
4130,1132.73,1132.77227837113
4133,757.04,915.886017707201
4135,841.2,1071.24072164748
4153,492.34,223.450000000004
4202,1762.58,1896.47172583471
4215,1590.61,1491.82943173059
4225,1261.54,1607.98584995155
4232,543.59,631.602293652115
4234,1282.58,1346.29434964066
4235,445.2,455.76594375761
4252,2026.39,2007.60469773408
4265,1836.31,1973.72395986017
4267,621.14,689.732087390913
4284,728.62,794.323421981103
4296,1279.69,1419.51884490657
4300,869.23,942.550661319927
4319,1507.13,1690.86916264793
4322,1563.14,1747.95514459144
4324,1601.65,1676.00576112876
4335,736.02,1310.30831617313
4346,661.36,837.282669746352
4373,954.13,1080.3923984522
4377,1125.63,1411.45898221433
4389,1960.34,2079.31882225628
4399,1276.08,1229.23337333126
4403,1202.54,1224.42916862791
4429,835.48,967.100377881222
4443,909,970.913162104622
4465,1336.18,1633.88469075041
4469,863.72,797.203096583418
4473,1379.13,1066.40732530061
4477,1395.16,1234.53429910048
4478,1368.86,1474.96473599257
4487,1960.18,1330.32602962807
4496,1192.97,1341.14160028915
4508,1160.18,975.404648499051
4549,1284.5,1278.77906810157
4565,859.23,1113.25775472143
4575,1079.04,1233.47425188653
4591,2157.66,2024.1302330371
4607,1458.82,1655.06081811385
4668,257.24,309.727920911617
4686,445.33,424.081473110633
4703,1538.87,1471.30849030138
4726,1093.92,1565.6639115558
4733,374.17,375.997543038749
4744,984.000000000001,1190.26197481987
4752,853.05,814.471382725302
4756,1432.96,1553.49651189684
4765,1878.65,2378.94075317606
4766,1477.18,1709.03216629395
4799,799.81,1086.85787497147
4803,1330.78,1099.62123696896
4823,1892.91,1517.61410263751
4836,2098.86,1798.56413068669
4842,1021.11,727.880185142016
4848,1437.4,1042.97460802576
4871,1901.94,2100.55243772822
4875,2452.25,1994.55208313995
4881,862.67,1245.56617700011
4891,225.75,363.389748084118
4915,2487.57,1626.02233120131
4945,1750.44,1769.21385747845
4949,1499.93,1558.06223011905
4956,1187.91,1031.18806885891
4960,2591.3,2548.56911280759
4973,1093.91,1106.68181522663
4987,2191.97,1855.38778497922
5020,2364.09,1355.43877732185
5034,1062.38,965.429472689998
5037,749.9,718.385903158883
5069,706.82,763.307637310587
5075,905,1308.2013464287
5080,1226.18,1201.77693337488
5089,203.43,224.368421353292
5104,1179.1,1245.35752143553
5107,1407.08,1575.05888419443
5108,1391.5,1080.14829253221
5121,900.07,931.528168165297
5134,1477.7,1616.44864437267
5141,1065.78,1092.83320757502
5163,1733.99,1915.59282619816
5168,1467.72,1511.92555203793
5182,824.01,940.357685037094
5200,1044.07,1042.96471598382
5203,1674.25,1704.67537625807
5217,1773.34,1439.34895067802
5219,657.02,798.183143112658
5232,846.23,925.80871799361
5242,1652.46,1724.76289889733
5270,959.81,1003.92810059821
5319,1493.35,1872.04140461904
5338,1020.4,1195.44428216631
5370,1484.35,1355.484759854
5385,1385.1,1899.98828553578
5392,3011.98,3589.9950673741
5402,1113.15,1262.69186775317
5415,893.09,1295.20826011045
5449,1319.41,1540.47034881492
5462,1425.5,1694.91209195226
5471,464.44,468.20601800592
5477,887.93,913.479462671584
5480,2029.56,1816.69136490618
5482,542.72,469.918685601568
5484,745.93,860.954276640899
5497,1705.44,6668.60079306921
5501,1020.27,1500.52628095361
5503,654.74,895.861589849377
5513,1105.54,1369.4224515371
5523,2148.93,2117.75725383029
5534,2272.9,1843.44058116441
5557,284.46,420.714002182734
5561,1330.65,1446.01944876486
5562,468.31,517.90401788684
5570,956.93,1202.84025346716
5573,573.14,459.898561134
5600,932.58,1025.12545499145
5636,2242.28,1890.49871191894
5649,1024.03,1269.44499869398
5659,485.73,739.074229976101
5686,1082.34,1330.89767582973
5701,330.56,379.158255320256
5747,1388.17,1423.95992933341
5767,1136.67,1075.1165939345
5770,395.27,400.005578717773
5786,2491.64,2928.90443915646
5800,1042.71,1320.07632591177
5811,857.219999999999,1123.7007712823
5841,443.85,347.089397031696
5853,1143.1,1262.42485670168
5867,1209.28,1264.13479057165
5876,1951.91,1518.06187755966
5896,247.97,235.233127601569
5897,1126.14,1406.27396063848
5901,1200.63,1269.64651319807
5903,315.01,1270.88377540611
5905,576.92,607.189172550185
5920,417.38,419.667284183329
5935,2855.28,2796.84831091164
5945,267.89,324.167056413266
5971,507.83,566.098401537503
5991,936.58,530.970562635242
6004,1343.79,1403.83853002479
6023,470.45,508.252137207252
6028,1779.48,1681.49350420811
6044,183.95,177.946243609736
6050,1171.25,1219.31119708268
6059,1053.89,1197.69829405417
6075,883.78,1012.66797344373
6089,949.65,1017.47134894207
6095,948.39,925.004631279963
6117,1202.04,1340.76515501883
6164,1215.84,1318.99953388407
6275,1641.74,1724.24937446042
6286,1211.29,1192.41666329771
6289,583.57,793.649976718511
6309,1193.52,1044.62681170682
6312,1492.31,1960.93151250269
6322,2122.53,1519.79811208092
6326,897.65,1153.46552957985
6330,471.03,499.169123093444
6333,113,141.383815133237
6350,1729.67,1895.04300051277
6368,1713.5,1856.8663147507
6389,527.63,1191.29285827729
6398,1444.28,1763.55136172982
6406,1474.29,1200.80184928709
6424,353.61,306.475936829541
6464,1199.76,1257.89472901422
6465,989.74,1132.45030671222
6470,1382.71,1392.95092057853
6475,558.42,515.237467156704
6485,1752.65,1650.40680634846
6489,835.99,816.336979667745
6492,1644.79,1554.79544788047
6505,571.31,649.357334944334
6508,2087.15,1673.48742073251
6511,614.6,660.984879493227
6515,807.39,840.527301487176
6522,1185.28,1503.23797034192
6524,600.11,751.488494060574
6539,1062.19,1249.3765361188
6541,666.91,615.513063301463
6546,1084.5,1073.45849406254
6558,987.17,1001.80593003888
6560,1060.95,1066.46804609886
6566,1919.62,2032.56724554584
6572,1818.23,1655.77179007718
6596,1416.27,1364.85241756196
6600,1762.89,1607.43654012517
6601,1001.82,1326.64240317008
6604,2407.84,2160.14707123749
6607,778.69,827.369793173885
6611,1483.46,1509.91632430216
6621,893.08,954.782797094278
6643,2227.17,1857.61895262741
6648,838.69,911.70999854888
6663,1252.86,1142.81143825025
6674,1984.02,1946.37509217487
6678,136.71,156.056774730272
6693,819.01,652.150312461621
6701,971.49,1380.19592782486
6709,852.4,958.229479526883
6738,712.94,694.973790056176
6754,401.33,523.974742166462
6761,509.42,649.290997698591
6779,990.14,964.677149513557
6793,554.27,543.013366453561
6827,2568.67,2304.48541587524
6833,1352.16,1241.05099573555
6854,388.38,603.137038777942
6877,1434.03,1678.95737365548
6897,1720.21,1502.28930677225
6898,550.09,509.421123378999
6901,846.53,911.110521687281
6909,277.75,216.260638099003
6926,501.2,598.994695874057
