tripID,realized_secs,independent_secs,first_secs,second_secs,full_secs,population_secs
12539,854.79,773.920175921525,777.943716938842,774.019539058923,772.869028301797,745.73594841972
12564,2767.67,2521.13113759392,2521.42700033578,2518.78126572476,2511.23102757636,2947.18270763424
12567,921.27,1054.99140502272,1045.4619077069,1059.11008719797,1062.65076343097,1144.94314922292
12574,1657.71,1333.31582720831,1333.54140019827,1330.02439915316,1333.08635753034,1562.67885761399
12597,2260.2,2159.82904141214,2132.72880756907,2133.00818583559,2139.67485705866,2409.73858000309
12623,1326.63,1312.5112895316,1316.11972809694,1310.93452353986,1313.09664047211,1399.18678546557
12667,979.95,1114.84134751628,1115.58341639257,1111.60996592034,1114.02075556399,1140.91800352797
12676,1018.34,1336.95660958855,1323.2721141599,1337.93959853064,1325.79956809552,907.57740500168
12688,3100.05,2872.97079281369,2883.52637871014,2867.87695948565,2871.14609759572,3559.77530287791
12693,2697.35,3087.35588755632,3083.177451636,3073.83147254442,3075.73987710068,2976.96260570389
12694,802.08,974.82177474925,978.690930480697,978.133437812792,966.460252611482,799.954944459053
12698,990.52,968.028810144254,981.182239863477,969.561669793185,970.768851734326,1109.33419906223
12701,1103.67,1350.58413944839,1351.01880164874,1349.58770282079,1351.02959842922,1196.74848148487
12716,943.11,1099.52869691942,1099.39662319584,1101.65507050018,1095.33924288087,885.477456547183
12741,2072.63,2123.07262319613,2103.60048553275,2107.28031167677,2103.70559812542,1852.70409146551
12743,2138.23,1972.20313917361,2068.66077652349,2037.8008889348,2140.72757281968,1582.84634467474
12749,519.6,650.310298957239,650.348453940457,657.445038911699,659.704679403446,349.50310113562
12758,2555.9,2517.98630589513,2514.58573796587,2507.76831477053,2511.96889366082,2493.23766887446
12774,1930.01,1972.48622508106,1971.29328095501,1971.20410704912,1971.75643214882,1687.65368339399
12783,2329.95,2276.4025780792,2277.68978512459,2281.30320661994,2265.8353608532,2087.64720556131
12806,832.01,941.212761621683,953.882682642534,945.380370652312,948.12014468068,959.754758404697
12807,613.65,633.893898639466,629.023989178309,632.664672601914,633.805167280311,749.771979419554
