tripID,Realized,Normal 0.05,Normal 0.50,Normal 0.95,t 0.05,t 0.50,t 0.95
1485,1643.9,1297.05840393893,1239.86874600313,893.20072807616,1317.70228401082,1498.22011878644,1517.73922363105
1508,1058.29,1112.31667090756,1008.20031835844,887.965293458023,2025.67824320389,984.262565843223,1015.89828246425
1521,1289.1,1695.67978959222,1795.07300002029,1886.84683500012,1641.03381348131,1293.11128374802,1676.89548405635
1524,1438.94,1160.43666346299,1437.60643179523,1010.90582147395,1411.74999906245,1626.50797177342,1257.52481924018
1525,2794.87,2048.90262870214,1811.35499302328,2368.0731735617,2054.93373998011,1770.1913250887,1775.72545524974
1527,2339.7,1889.71363149175,2167.27636389659,2729.48069761534,1937.28586944578,1614.38805440128,1512.95939753118
1546,1425.86,1348.25909916348,1271.0710017538,1150.05756892854,1266.59867170692,1528.76062032827,1053.99288517495
1552,1502.33,1602.18122428772,1375.64636046287,1897.85021842809,1875.79287234331,1647.63093458731,1561.8513041265
1560,1078.06,904.085005827675,1158.29569866576,2075.54220561188,1185.66007416539,965.346011490278,1652.23572374705
1617,1240.24,1076.52166360919,1125.60633116903,1457.91833615714,1432.61282647784,1172.5791824826,973.925032381741
1622,1530.54,1359.08187387886,2008.9186983732,1775.902173128,1801.2351904373,1375.8760629258,1213.97757154164
1628,694.29,751.650435996559,869.27431369441,1077.86874340019,754.007994807431,788.649182510256,807.997191726612
1651,1689.68,1376.27900389223,1829.66182287406,2013.92407893023,1656.80226480989,1361.07725700083,2094.51880465194
1664,1910.14,1774.7483102756,1862.94570320785,1351.9798967657,1530.365628844,1739.48905615247,1899.88832708231
1666,768.13,813.731676573205,758.987910467255,12235.41709426,862.062798485868,856.72055857258,800.815370812733
1684,1571.04,985.55589675009,1041.10941530544,1670.20478789993,1564.52102451023,1143.75024708391,605.791705928315
1685,1111.02,571.949517465755,714.091309130786,649.008134467573,622.058682964061,591.795638790771,728.154060083882
1686,2465.47,1670.20976142273,1847.42944284779,2075.92349273412,1647.79015600523,1703.80549002947,1364.46518711156
1695,760.97,724.348449047613,802.409693354227,690.138687947484,705.832194707577,797.561519777921,719.423452506497
