model,tripID,real_price,strike,premium,profit
trip-specific,11607,26.8781652333333,24.4657012040161,0.329991492827715,-2.08247253648948
trip-specific,11633,22.6104639333333,23.8855843451248,0.368370029748102,0.368370029748102
trip-specific,11636,67.0925889,66.8450215061088,0.489810482880963,0.242243088989775
trip-specific,11641,35.6381122666667,33.9458290502595,0.359801542738949,-1.33248167366822
trip-specific,11666,15.0453640666667,16.0059568945529,0.270906190597899,0.270906190597899
trip-specific,11696,5.6437467,5.20501123655187,0.243402736673221,-0.195332726774909
trip-specific,11724,21.3626288,20.1684039766567,0.628070811479003,-0.566154011864326
trip-specific,11742,20.0624723333333,20.1480839116184,0.356639818812003,0.356639818812003
trip-specific,11746,24.0581376666667,23.448075726111,0.455834751717141,-0.154227188838576
trip-specific,11778,10.9642837,10.8695218960653,0.185057402691738,0.0902955987570534
trip-specific,11790,15.7826656666667,14.8044622055331,0.208986199699542,-0.76921726143401
trip-specific,11800,20.0168836,20.3474152962968,0.244981322922842,0.244981322922842
trip-specific,11805,17.0480069333333,17.4846359599765,0.239081294127403,0.239081294127403
trip-specific,11830,16.7731366666667,16.8901218416581,0.252020670136829,0.252020670136829
trip-specific,11855,18.2605070333333,18.4296429604978,0.110962842723959,0.110962842723959
trip-specific,11869,7.18831153333333,7.28144713352013,0.0912098620586161,0.0912098620586161
trip-specific,11879,8.9624317,9.56535262805992,0.363118533218143,0.363118533218143
trip-specific,11881,32.0403443,31.0840137928841,0.484320107966891,-0.472010399149017
trip-specific,11885,31.0886338333333,30.26328569921,0.353833161044327,-0.47151497307904
trip-specific,11924,18.6853895666667,18.5472169741686,0.21037754137946,0.0722049488814087
trip-specific,11926,22.0971985333333,24.1413284512617,3.04192641750341,3.04192641750341
trip-specific,11935,13.1689179333333,11.2378635529368,0.350628968883298,-1.58042541151323
trip-specific,11952,24.3424035333333,28.2479980312913,0.632525226451768,0.632525226451768
trip-specific,11959,24.9833157,27.1355963356964,0.315858013356744,0.315858013356744
trip-specific,11971,17.7065788,18.8644036281856,0.235559428202706,0.235559428202706
trip-specific,11993,16.0148835333333,15.9749727448767,0.167183986679891,0.127273198223266
trip-specific,11999,36.7470661333333,47.4261298014834,4.37327688231458,4.37327688231458
trip-specific,12004,18.2085405,19.4761338462163,0.475748160322085,0.475748160322085
trip-specific,12039,8.41624316666667,8.58522429871822,0.236372798694762,0.236372798694762
trip-specific,12040,21.544369,22.1853319229609,0.264710073490514,0.264710073490514
trip-specific,12063,35.6142266333333,36.0382511821722,0.545827896182316,0.545827896182316
trip-specific,12074,13.196795,12.3486471898577,0.200884753609882,-0.647263056532442
trip-specific,12083,31.2366311333333,29.8435653553696,0.30599446384532,-1.08707131411845
trip-specific,12100,27.999137,27.9263051127791,0.342488336450454,0.269656449229564
trip-specific,12106,37.1532264666667,37.3013994015177,0.442132975883691,0.442132975883691
trip-specific,12107,43.3681339666667,42.8691504235566,0.317569256633034,-0.181414286477038
trip-specific,12110,16.0389501,14.7488080399921,0.366962052884335,-0.923180007123531
trip-specific,12112,28.0255914666667,29.3417294606517,1.85618398243611,1.85618398243611
trip-specific,12118,35.4712555,35.4164301087252,0.373037097027353,0.318211705752542
trip-specific,12128,33.0281413666667,33.7868417324879,0.682816115429118,0.682816115429118
trip-specific,12148,55.010427,54.5599515290465,0.541203887063735,0.0907284161102499
trip-specific,12195,12.2573879666667,12.8127581550988,0.211008048560909,0.211008048560909
trip-specific,12206,28.6163997666667,26.7540658988054,0.431374921256373,-1.43095894660492
trip-specific,12212,25.5209312666667,25.5439723826124,0.398142280385751,0.398142280385751
trip-specific,12219,35.7539307333333,34.536012998548,0.59771058458666,-0.620207150198671
trip-specific,12235,24.9082929,24.8257373355663,0.502592752804401,0.420037188370711
trip-specific,12238,24.0433015,23.4221126698112,0.380503600221102,-0.240685229967716
trip-specific,12245,30.2729915333333,31.8068263046703,2.07512709038525,2.07512709038525
trip-specific,12250,27.9241595666667,27.2203704555292,0.511322000753307,-0.192467110384214
trip-specific,12251,46.1196280666667,43.0091536476509,0.534250140515649,-2.57622427850016
trip-specific,12255,46.0580917666667,41.7606572584116,0.421296820532006,-3.87613768772302
trip-specific,12266,17.6643667666667,16.3935416184024,0.268298795804386,-1.0025263524599
trip-specific,12271,16.9995968666667,14.6362758520493,0.469919559143771,-1.89340145547364
trip-specific,12277,22.9513134666667,24.1554869097186,0.475628126088109,0.475628126088109
trip-specific,12283,19.6671026333333,18.4273726842011,0.224960723714259,-1.01476922541796
trip-specific,12295,23.2300584666667,23.4908026780788,0.33516301394139,0.33516301394139
trip-specific,12313,33.6582861333333,32.9179575225596,0.334463536688664,-0.405865074085109
