"trip","sampled_time","non_dependent_time","dependent_time","population_time","first_order_time","second_order_time","HMM"
13003,2261,1404.75046653309,1839.74794567696,1816.33575514016,1582.00285249655,1444.32595497799,2073.91954250471
19445,1804.77300000191,1800.73563736911,1794.04115282923,2169.00267166804,2033.13311573577,2582.01068138774,2514.75633763857
19678,676.06500005722,1627.53128015836,1351.28453112448,1268.67724712364,1567.97227345048,1266.70597698184,1568.20567785411
21018,2229.67700004578,1086.58883477689,967.475167705398,2215.33525099546,2990.27808800951,1391.61918551124,1164.92012814087
21024,2140.72900009155,1387.97524402432,1209.82194336061,2077.12703508413,1456.89989952751,1283.14542195357,903.109803498773
22208,1489,2515.87129427594,2393.05931212276,2311.75844213683,2328.01941842364,2410.13755619157,3710.98401174033
5867,1176,1564.72353810896,1998.66404024208,1713.03040846043,1490.92309962053,1791.95234144569,2112.4869537698
8092,1501,1094.93345956148,1127.78551359132,980.152528158873,947.72082048893,992.657420508674,877.731167026026
14958,1482,899.433272378964,787.482405233452,1085.62586599152,949.078645735909,1007.81963002946,731.313516787376
22520,1698.01300001144,1676.02429942175,2239.69619002977,1593.16206064989,1640.77510614669,1647.0449748225,2427.14931264729
6050,1147,1050.27903113939,1319.76390057905,1740.10684746627,1358.20677256705,1268.86938214697,1432.6424583838
8518,424,2352.39713069948,1974.36590534632,2653.07301074671,1786.6082032999,2801.38771696365,3847.10464427626
20003,445,1535.87071369646,1037.72386651217,1350.17057884545,1416.109381609,1652.10320878017,1347.79462269857
15857,2308,724.123037840132,574.731895595621,688.658689890734,855.285393773128,1025.08514850675,758.313808655984
479,2914.125,1614.57697226558,1770.67920425493,1371.26270820529,1563.13651219618,1803.09304021468,2337.1352428307
17564,1429,568.182277238024,676.524397647004,672.140558830375,577.891024997672,555.562432586327,473.363097969631
18826,1190,1269.7076504262,1587.09604241885,1131.26068577452,1714.89519218961,1267.41190165144,1696.75865262117
16865,991,1581.67747982233,1491.927575181,1715.78545014731,1566.37097789876,1427.17659307212,3138.53957779779
5020,1357.5680000782,521.41691239411,538.584962253643,555.549236729818,506.625580210692,745.178738937694,336.239399996413
22002,988,1084.23131009464,1109.08052558885,1398.79826091963,1379.29462788426,1117.49037595208,1302.42866764723
11166,1647.95300006866,1480.67070269747,1315.16611640595,1296.03146212328,1417.89468569456,1523.25874386457,1631.82680940518
14573,2020.6779999733,1812.19860656137,1729.11311841671,1936.38440027239,1784.27131460744,1608.63877767646,2390.64274793532
20812,2178.21700000763,2005.14018980131,2350.31025641119,1711.34469770477,2354.69216987045,2003.84868047331,3079.48676562723
5163,1733,982.117618372937,744.54813492877,731.225416412294,656.546973251135,652.892136227764,1003.39704363789
181,1270.11100006104,1871.35921809481,1808.66631361997,4223.83666618662,2023.63429289748,2020.21783476294,2165.61636027472
5786,2452,1692.13016593676,1772.07839583567,1530.10012044869,1626.01953842171,1813.39051684619,2087.20927808339
9527,2247,1208.47424857047,1278.21350397013,1134.78511395299,1053.66634281347,965.764684444316,1383.1297678632
16267,3198,606.821564303646,589.819209625693,607.520856432421,636.784660507768,611.155621292005,1452.0094240743
22603,423,1661.01778708062,1538.85847870249,1629.87458568913,1557.27784799307,1498.76126881805,2343.02536990291
793,1558.27900004387,3544.11691846231,3681.74162768456,4000.03411661113,3442.01468098659,3190.47132509644,4516.58453677684
4478,1312.77900004387,2228.54232740097,2165.60050696511,2865.42885516269,2194.03266758321,2488.08572155413,4336.95742181474
3613,685,1614.86052094786,2222.646048967,1525.00346050945,2047.7915692426,1687.43821893253,2142.99004092617
2821,933,905.955921717416,1265.5277055317,1276.66807412357,1208.38276496178,880.234052196522,974.429778247237
7162,944.013000011444,1086.40589178752,1195.91100186652,1017.11673136363,1132.38564662485,1070.5794899543,1180.34501359472
11089,1217.09800004959,589.949338702526,509.699979527744,650.001362086501,500.874248375182,438.159035206224,668.075495143347
18849,2181,2644.74539986108,2616.87147933419,2197.04614344188,2663.35704694592,2500.76376408278,5119.92359005291
12449,1109,2184.27457792516,2030.18777440694,1691.16336843877,2001.47136192094,2035.70084972122,3782.43178233717
21987,1030,861.808171677162,1028.73978250588,652.976526348283,996.908677351411,1071.94701001233,2177.97587093215
14126,1259,1646.08934859838,2012.84218704453,2091.21246376719,1834.72684419361,1620.30728211245,1490.60587367643
14147,684,1076.12690016263,1120.29265123884,1072.18899235429,1036.03193902918,1119.57534159473,1629.57251281306
19780,1031.78999996185,1880.04253226,1936.65978786496,1643.02475532614,2011.57425220378,1985.3971222864,2184.89234010967
7496,1201,513.493705021487,543.812201430275,980.836728663314,546.503534822952,519.392191222378,654.27399114898
13154,1011,1034.36102129436,1066.18545039627,848.80875916189,1149.70017103598,954.747016384159,1401.17313979482
5080,1218.9240000248,1203.70746962896,1281.90589002948,1174.89253451829,1330.41290344937,1360.06334876421,2466.85072281742
1685,710.598999977112,818.320201213466,757.135499875525,768.524816234118,786.996471366901,791.728190508006,772.062922861595
