"tripID","start_time","end_time","duration","distance","real_price","payment_trip_specific","payment_population","profit_trip_specific","profit_population"
18530,2014-05-15 09:31:45.009,2014-05-15 09:49:30.996,1070.22,23958.337,30.2619733,30.4506092425343,31.2336427054616,0.188635942534347,0.971669405461565
18553,2014-05-15 16:24:54.894,2014-05-15 16:28:38.892,234.29,1707.901,5.91760923333333,6.22561366513517,6.46436581442214,0.308004431801835,0.546756581088803
18555,2014-05-15 16:37:37.059,2014-05-15 16:43:52.108,416.14,2881.793,7.91367036666667,8.20915627666098,7.81544895665835,0.295485909994314,-0.0982214100083123
18577,2014-05-15 17:23:49.369,2014-05-15 17:27:34.888,236.91,3259.019,7.3271521,8.11865384141473,8.64073568529309,0.791501741414727,1.31358358529309
18592,2014-05-15 18:24:49.862,2014-05-15 18:26:54.476,134.68,1371.298,5.10001486666667,5.16608263493598,6.25992648811311,0.0660677682693152,1.15991162144645
18602,2014-05-10 11:32:19,2014-05-10 11:37:34,346.79,1984.278,6.74759853333333,6.44967535451292,6.51501566826478,-0.297923178820414,-0.232582865068555
18603,2014-05-10 11:49:40,2014-05-10 12:08:01,1139.33,15180.992,22.7194311333333,22.5714280480337,25.0022455265884,-0.148003085299624,2.28281439325511
18606,2014-05-16 07:09:06.009,2014-05-16 07:12:32.996,210.7,2813.795,6.79103216666667,6.80913179933808,7.9492463468942,0.0180996326714098,1.15821418022754
18635,2014-05-16 16:02:42.355,2014-05-16 16:14:51.799,731.99,6162.441,12.4981452333333,11.6530887273122,11.9261183139464,-0.845056506021082,-0.57202691938695
18641,2014-05-16 16:25:22,2014-05-16 16:50:45,1560.8,8282.501,18.6883842333333,16.8538932997566,17.2183789381176,-1.83449093357677,-1.47000529521573
18656,2014-05-16 17:18:59,2014-05-16 17:22:46,235.38,1530.171,5.7632839,6.60684824845977,5.90651518776035,0.843564348459773,0.143231287760347
18675,2014-05-16 17:53:52,2014-05-16 17:55:56,133,1350.945,5.07301716666667,5.46346313146624,6.24160878811311,0.390445964799578,1.16859162144645
18679,2014-05-16 21:08:19,2014-05-16 21:21:33,803.08,13700.219,19.6494437666667,19.5611487330801,23.8542631960356,-0.0882950335865225,4.20481942936895
18682,2014-05-14 12:59:25,2014-05-14 13:19:10,1202.32,25331.416,32.1802610666667,32.098607405847,33.8603383497356,-0.0816536608196401,1.68007728306889
18686,2014-05-14 14:32:40,2014-05-14 14:41:33,585.79,6355.334,11.9163822666667,11.9716014908665,12.6707832460865,0.0552192241997957,0.754400979419827
18703,2014-05-18 12:05:47,2014-05-18 12:12:22,408.47,3376.907,8.31964463333333,8.31755800605742,9.13193256984421,-0.0020866272759168,0.812287936510877
18710,2014-05-08 07:40:35,2014-05-08 07:52:14,702.69,2834.624,9.3517266,8.79750369902393,8.93108301394638,-0.554222900976072,-0.420643586053618
18723,2014-05-01 12:38:43.703,2014-05-01 12:53:57.683,930.199999999999,12562.05,19.2818783333333,19.244494410348,22.090344598187,-0.0373839229853026,2.8084662648537
18724,2014-05-01 12:48:49,2014-05-01 12:58:55,631.53,10736.731,16.0959629,16.849373182487,17.9337546154672,0.753410282486993,1.83779171546722
18727,2014-05-01 18:26:39,2014-05-01 18:31:21,287.85,2299.484,6.7267606,6.77466797314171,7.48636644689421,0.0479073731417099,0.759605846894205
18737,2014-05-01 17:40:58.252,2014-05-01 17:43:34.243,161.68,1293.329,5.16934276666667,5.25080413157495,5.79349792831932,0.0814613649082832,0.624155161652657
18744,2014-05-08 06:49:45.95,2014-05-08 07:00:21.943,640.37,4810.117,10.8076836333333,10.6298061061353,11.2800879460865,-0.17787752719804,0.472404312753163
18758,2014-05-11 12:39:19,2014-05-11 12:51:41,748.87,9424.423,15.5211423666667,16.2105471461217,19.266480298187,0.689404779454994,3.74533793152037
18770,2014-05-05 19:37:17,2014-05-05 20:33:11,3432.27,38403.853,55.4668627,51.6822056278716,58.4013695029663,-3.78465707212835,2.93450680296635
18822,2014-04-28 18:30:02,2014-04-28 18:49:52,1295.33,21432.343,29.1516470333333,30.4768020059499,34.1218914375392,1.32515497261651,4.97024440420587
18828,2014-04-28 18:42:50,2014-04-28 18:59:55,1026.25,18146.367,24.8040219666667,25.4727088815873,28.3170983945036,0.668686914920631,3.51307642783691
18836,2014-04-28 19:02:03.759,2014-04-28 19:14:10.99,735.7,18119.27,23.2784596666667,23.7856448112857,27.1843956281647,0.507185144618987,3.90593596149803
18845,2014-04-28 19:36:06.776,2014-04-28 19:54:48.542,1132.76,14208.75,21.8104683333333,21.040634916639,23.7574488806808,-0.769833416694297,1.94698054734743
18862,2014-04-28 20:22:03,2014-04-28 20:48:56,1615.14,22944.746,32.1651614,31.8296805279824,39.2248943792536,-0.335480872017651,7.05973297925362
18876,2014-04-28 13:42:49,2014-04-28 13:57:19,877.94,16588.59,22.6357543333333,23.0798325179207,25.2509666090253,0.44407818458739,2.61521227569195
18884,2014-04-28 07:28:15.799,2014-04-28 08:08:51.496,2440.38,52240.719,62.7952771,71.8930929105758,65.1360756078586,9.0978158105758,2.34079850785861
18906,2014-04-29 06:14:18.344,2014-04-29 06:32:55.502,1141.4,23688.613,30.3869850333333,31.3359958972877,31.8263953116866,0.949010863954388,1.43941027835329
18907,2014-04-28 15:34:02.398,2014-04-28 16:19:09.375,2749.51,58295.0599999999,69.8413556666666,72.5178859143239,71.4041389287904,2.67653024765727,1.56278326212379
18910,2014-04-29 06:16:36.367,2014-04-29 06:30:20.54,820.61,13452.518,19.5170845333333,19.875116249787,22.2429506813005,0.358031716453649,2.72586614796718
18914,2014-04-29 06:32:25.558,2014-04-29 06:41:03.441,530.62,5721.133,11.0605563666667,11.2500509601518,13.0441458842226,0.189494593485142,1.98358951755596
18929,2014-04-29 06:31:56.969,2014-04-29 06:47:18.392,947.78,18863.148,25.0436965333333,25.4648348932217,24.683766813082,0.421138359888378,-0.359929720251351
18947,2014-04-29 06:34:21,2014-04-29 06:56:05,1310.89,26815.653,34.0770193666667,34.7336570160087,37.4078342827853,0.656637649342009,3.33081491611864
18958,2014-04-29 06:40:54,2014-04-29 06:58:54,1111.16,18481.767,25.5445836333333,25.3607785816365,27.0475474364567,-0.183805051696798,1.50296380312331
18968,2014-04-29 06:46:04,2014-04-29 07:02:47,1014.6,18771.595,25.3065355,25.188299673128,25.2588669388482,-0.118235826872031,-0.0476685611518057
18979,2014-04-29 06:41:26.73,2014-04-29 07:06:13.52,1504.28,22763.95,31.4296683333333,30.6984221360467,36.6005932393507,-0.731246197286591,5.17092490601738
19000,2014-04-29 06:36:19,2014-04-29 06:57:57,1311.97,26283.921,33.6040405666667,33.2500541737384,34.8100523110513,-0.353986392928292,1.2060117443846
19005,2014-04-29 06:50:26.075,2014-04-29 07:14:11.055,1407.11,23033.286,31.1700257333333,32.256845423971,32.9917946462302,1.08681969063771,1.8217689128969
19028,2014-04-29 06:58:44,2014-04-29 07:21:28,1368.8,17994.311,26.4370132333333,28.9879439473568,29.2848419971436,2.55093071402343,2.84782876381025
19047,2014-04-29 07:09:43,2014-04-29 07:25:23,954.66,5412.136,12.9733324,11.9894637879535,11.6319960519491,-0.983868612046464,-1.34133634805093
19051,2014-04-29 07:07:36,2014-04-29 07:26:06,1127.81,15634.919,23.0684454333333,23.9012960505295,26.4253712329256,0.832850617196204,3.35692579959225
19058,2014-04-29 07:12:27,2014-04-29 07:26:46,888.31,14331.379,20.6578427666667,21.2582188486753,22.755317083731,0.600376082008648,2.09747431706435
19091,2014-04-29 07:10:22,2014-04-29 07:32:46,1394,12092.642,21.2557111333333,21.9224026886002,19.9956763740918,0.666691555266869,-1.26003475924157
19102,2014-04-29 07:06:21,2014-04-29 07:35:17,1769.67,29077.153,38.4827327,39.3003885423031,38.7995594019952,0.817655842303118,0.316826701995232
19105,2014-04-29 06:58:16,2014-04-29 07:34:54,2201.43,38150.066,48.8791144,50.7838765123891,50.9046395804681,1.90476211238913,2.02552518046814
