model,strike,h,lambda,k,u,n_members,mean_profit,se_profit,mean_loss_ratio,se_loss_ratio,pooled_loss_ratio,median_loss_ratio
population,0.9,8,0.25,16,0.533333333333333,100,46.8597476886123,4.38680657896865,0.454313304612973,0.0494980310067803,0.42625473301418,0.333245054747934
population,0.9,8,0.25,17,0.566666666666667,100,44.8333638196713,4.50645160182508,0.479514817151736,0.0519703425929055,0.451065539970016,0.341862456057603
population,0.9,8,0.25,18,0.6,100,42.7824986484781,4.66402807094197,0.506591598001123,0.055044398589509,0.476176093125729,0.363586684523761
population,0.9,8,0.25,19,0.633333333333333,100,40.6634740981564,4.8110825268721,0.532857384524455,0.0581440645582486,0.502121181743209,0.393906724189315
population,0.9,8,0.25,20,0.666666666666667,100,38.7267571026851,4.96557458209842,0.558025964846902,0.0609265346984543,0.525834117993455,0.40697373595393
population,0.9,8,0.25,21,0.7,100,37.0700989978296,5.1177719995778,0.580069796679389,0.0635936870201839,0.546118045960603,0.436107549667587
population,0.9,8,0.25,22,0.733333333333333,100,35.3230870148113,5.26050016507947,0.602320039329354,0.066161978586765,0.567508256238407,0.451146293392934
population,0.9,8,0.25,23,0.766666666666667,100,33.6314582399428,5.40714786493067,0.624275085652578,0.068779375699767,0.588220360996788,0.468309474903825
population,0.9,8,0.25,24,0.8,100,32.0240154326391,5.5946925531481,0.645469776697379,0.0718290526799074,0.607901702620081,0.498738365031644
population,0.9,8,0.25,25,0.833333333333333,100,30.4926582769239,5.75371034463201,0.665666447825341,0.0743986187099054,0.626651460429168,0.508932284033757
population,0.9,8,0.25,26,0.866666666666667,100,28.7425344468617,5.92464698815493,0.688342626065805,0.0773344695207727,0.648079771798017,0.508932284033757
population,0.9,8,0.25,27,0.9,100,27.2053706110541,6.08851359310288,0.708057162346266,0.080083152517557,0.666900625918636,0.511696845564275
population,0.9,8,0.25,28,0.933333333333333,100,25.4951893672836,6.27000803342393,0.730419358399679,0.0827794842668761,0.687839884935169,0.52934294748952
population,0.9,8,0.25,29,0.966666666666667,100,24.0455354898209,6.44976935497129,0.748961440245474,0.0853684507882193,0.705589277366576,0.546754184993045
population,0.9,8,0.25,30,1,100,22.8480651185619,6.61171286883785,0.764695347725114,0.0880648465361453,0.720250964459538,0.550334236937773
population,0.9,8,0.5,0,0,100,81.6734366015615,3.2041127306192,0,0,0,0
population,0.9,8,0.5,1,0.0333333333333333,100,78.172900281157,3.12707197734739,0.0448503135033426,0.00460048311979228,0.0428601570603878,0.0321676890973955
population,0.9,8,0.5,2,0.0666666666666667,100,75.0328728082287,3.11231880939129,0.0859852785249201,0.00828263724824348,0.0813062859804515,0.0662615339430638
population,0.9,8,0.5,3,0.1,100,72.4168575886049,3.14341144356648,0.121409413385585,0.0117342761385123,0.113336470193047,0.0965803308302151
population,0.9,8,0.5,4,0.133333333333333,100,69.6453171502116,3.16699110289143,0.157738220521125,0.0150799086222026,0.147270886984078,0.120483822704762
